tree_id,num_rows_in_tree_output,num_nonzero_nodes,unique_SGA_used,duplicated_nonzero_node_rows,root_node,depth,terminal_zero_rows,bootstrap_DEG_0,bootstrap_DEG_1,total_count
1,37,18,18,0,PIK3CA,8,19,553,226,779
2,23,11,11,0,MYEOV,6,12,553,226,779
3,25,12,12,0,MYEOV,8,13,553,226,779
4,17,8,8,0,MYEOV,6,9,553,226,779
5,1,1,1,0,,0,0,553,226,779
6,23,11,11,0,TRIM67,7,12,553,226,779
7,31,15,14,1,MYEOV,6,16,553,226,779
8,35,17,17,0,RUNX1T1,9,18,553,226,779
9,27,13,12,1,MYEOV,6,14,553,226,779
10,25,12,12,0,PLEKHA6,6,13,553,226,779
11,13,6,6,0,MIR548A3,4,7,553,226,779
12,27,13,13,0,CDC42BPA,6,14,553,226,779
13,29,14,14,0,ERBB2,7,15,553,226,779
14,41,20,20,0,ESRP1,8,21,553,226,779
15,17,8,8,0,SPTA1,5,9,553,226,779
16,43,21,19,2,SPTA1,7,22,553,226,779
17,35,17,16,1,MYEOV,9,18,553,226,779
18,33,16,16,0,ZFPM2,7,17,553,226,779
19,33,16,15,1,MYEOV,6,17,553,226,779
20,19,9,9,0,MYEOV,5,10,553,226,779
21,31,15,15,0,CDC42BPA,10,16,553,226,779
22,37,18,17,1,CDC42BPA,8,19,553,226,779
23,29,14,14,0,CDC42BPA,6,15,553,226,779
24,27,13,13,0,TRIM67,7,14,553,226,779
25,37,18,16,2,ZFPM2,9,19,553,226,779
26,29,14,14,0,MYEOV,7,15,553,226,779
27,25,12,11,1,PLEKHA6,5,13,553,226,779
28,27,13,13,0,TRIM67,6,14,553,226,779
29,35,17,15,2,KCNU1,6,18,553,226,779
30,33,16,16,0,OBSCN,8,17,553,226,779
31,31,15,15,0,PLEKHA6,7,16,553,226,779
32,27,13,12,1,MYEOV,7,14,553,226,779
33,37,18,18,0,MYEOV,6,19,553,226,779
34,29,14,12,2,KCNU1,7,15,553,226,779
35,17,8,8,0,MYEOV,6,9,553,226,779
36,39,19,19,0,PPFIA1,10,20,553,226,779
37,33,16,15,1,MYEOV,7,17,553,226,779
38,27,13,12,1,CDC42BPA,6,14,553,226,779
39,27,13,12,1,ZFPM2,6,14,553,226,779
40,25,12,12,0,DPY19L4,8,13,553,226,779
41,41,20,19,1,TTN,7,21,553,226,779
42,39,19,18,1,MYEOV,9,20,553,226,779
43,35,17,16,1,TRIM67,6,18,553,226,779
44,31,15,13,2,RUNX1T1,6,16,553,226,779
45,33,16,16,0,OBSCN,6,17,553,226,779
46,33,16,15,1,BAALC,8,17,553,226,779
47,53,26,26,0,MYEOV,9,27,553,226,779
48,35,17,17,0,RIMS2,9,18,553,226,779
49,37,18,18,0,TTN,6,19,553,226,779
50,27,13,12,1,ZFPM2,6,14,553,226,779
51,39,19,19,0,PIK3CA,7,20,553,226,779
52,37,18,16,2,CNBD1,8,19,553,226,779
53,11,5,5,0,MYEOV,4,6,553,226,779
54,25,12,12,0,CDC42BPA,7,13,553,226,779
55,21,10,10,0,DNAH14,5,11,553,226,779
56,49,24,22,2,RIMS2,9,25,553,226,779
57,29,14,13,1,NECAB1,7,15,553,226,779
58,35,17,17,0,CNBD1,8,18,553,226,779
59,33,16,16,0,TTN,6,17,553,226,779
60,37,18,17,1,ATP6V1C1,8,19,553,226,779
61,45,22,20,2,PLEKHF2,9,23,553,226,779
62,33,16,16,0,DNAH14,6,17,553,226,779
63,39,19,16,3,NOTCH2,7,20,553,226,779
64,25,12,12,0,MIR548A3,6,13,553,226,779
65,27,13,13,0,MYEOV,6,14,553,226,779
66,33,16,14,2,PPFIA1,7,17,553,226,779
67,39,19,18,1,PIK3CA,7,20,553,226,779
68,27,13,13,0,ZFPM2,6,14,553,226,779
69,27,13,13,0,OBSCN,7,14,553,226,779
70,11,5,5,0,ZFPM2,4,6,553,226,779
71,29,14,14,0,SYBU,8,15,553,226,779
72,25,12,12,0,GATA3,5,13,553,226,779
73,27,13,13,0,PLEKHA6,6,14,553,226,779
74,35,17,15,2,TTN,7,18,553,226,779
75,31,15,14,1,TTN,8,16,553,226,779
76,29,14,12,2,RAD54B,5,15,553,226,779
77,27,13,13,0,GDF6,7,14,553,226,779
78,25,12,12,0,ZFPM2,6,13,553,226,779
79,41,20,17,3,TP53,7,21,553,226,779
80,31,15,15,0,PLEKHA6,7,16,553,226,779
81,23,11,10,1,CDC42BPA,5,12,553,226,779
82,23,11,11,0,DCAF13,7,12,553,226,779
83,31,15,15,0,TARS2,7,16,553,226,779
84,31,15,14,1,TTN,5,16,553,226,779
85,29,14,14,0,CDC42BPA,6,15,553,226,779
86,31,15,15,0,MYEOV,8,16,553,226,779
87,29,14,14,0,CNBD1,9,15,553,226,779
88,27,13,13,0,CDC42BPA,8,14,553,226,779
89,31,15,14,1,ZFPM2,7,16,553,226,779
90,35,17,17,0,INTS8,6,18,553,226,779
91,41,20,19,1,CNBD1,9,21,553,226,779
92,39,19,19,0,CDH1,9,20,553,226,779
93,33,16,16,0,TTN,7,17,553,226,779
94,25,12,12,0,AHCTF1,7,13,553,226,779
95,33,16,16,0,MYEOV,6,17,553,226,779
96,21,10,10,0,SLC26A7,6,11,553,226,779
97,27,13,13,0,GATA3,6,14,553,226,779
98,31,15,15,0,CDC42BPA,6,16,553,226,779
99,35,17,16,1,TTN,6,18,553,226,779
100,41,20,18,2,DNAH14,9,21,553,226,779
101,21,10,10,0,ZFPM2,5,11,553,226,779
102,29,14,14,0,AKT3,8,15,553,226,779
103,31,15,15,0,PLEKHA6,7,16,553,226,779
104,29,14,14,0,TTN,5,15,553,226,779
105,23,11,11,0,ZFPM2,6,12,553,226,779
106,31,15,14,1,CDH1,8,16,553,226,779
107,39,19,18,1,GATA3,6,20,553,226,779
108,29,14,13,1,CDC42BPA,6,15,553,226,779
109,17,8,8,0,INTS8,6,9,553,226,779
110,23,11,11,0,ZFPM2,6,12,553,226,779
111,35,17,17,0,RAD54B,6,18,553,226,779
112,15,7,7,0,MYEOV,5,8,553,226,779
113,17,8,8,0,PDP1,5,9,553,226,779
114,35,17,17,0,TRIM67,6,18,553,226,779
115,41,20,18,2,MYEOV,7,21,553,226,779
116,23,11,11,0,CDC42BPA,5,12,553,226,779
117,25,12,12,0,GATA3,7,13,553,226,779
118,29,14,13,1,AHCTF1,8,15,553,226,779
119,27,13,13,0,PLEKHA6,5,14,553,226,779
120,17,8,8,0,PDP1,5,9,553,226,779
121,31,15,13,2,RN7SL350P,7,16,553,226,779
122,23,11,11,0,PPFIA1,6,12,553,226,779
123,35,17,16,1,MYEOV,6,18,553,226,779
124,21,10,10,0,PLEKHF2,5,11,553,226,779
125,35,17,17,0,PUF60,8,18,553,226,779
126,21,10,8,2,PLEKHA6,5,11,553,226,779
127,39,19,19,0,MYEOV,8,20,553,226,779
128,25,12,12,0,USH2A,5,13,553,226,779
129,45,22,21,1,PDP1,8,23,553,226,779
130,39,19,19,0,MYEOV,7,20,553,226,779
131,29,14,14,0,KCNU1,6,15,553,226,779
132,19,9,9,0,DPY19L4,5,10,553,226,779
133,19,9,9,0,RN7SL350P,6,10,553,226,779
134,25,12,12,0,ZFPM2,6,13,553,226,779
135,33,16,16,0,BCL9,7,17,553,226,779
136,37,18,17,1,TTN,8,19,553,226,779
137,31,15,13,2,LYST,6,16,553,226,779
138,23,11,11,0,PIK3CA,6,12,553,226,779
139,21,10,10,0,MIR3150B,5,11,553,226,779
140,17,8,8,0,RIMS2,4,9,553,226,779
141,31,15,15,0,ZFPM2,8,16,553,226,779
142,35,17,17,0,CDC42BPA,7,18,553,226,779
143,35,17,16,1,MYEOV,8,18,553,226,779
144,35,17,17,0,MYEOV,6,18,553,226,779
145,43,21,21,0,PDP1,9,22,553,226,779
146,45,22,19,3,PIK3CA,7,23,553,226,779
147,37,18,18,0,CDH1,8,19,553,226,779
148,41,20,20,0,TCHH,7,21,553,226,779
149,37,18,18,0,RUNX1T1,9,19,553,226,779
150,31,15,14,1,GATA3,6,16,553,226,779
151,17,8,8,0,COL22A1,6,9,553,226,779
152,39,19,17,2,GATA3,7,20,553,226,779
153,29,14,14,0,KCNU1,6,15,553,226,779
154,11,5,5,0,GATA3,4,6,553,226,779
155,33,16,15,1,SLC26A7,7,17,553,226,779
156,33,16,15,1,TRIM67,6,17,553,226,779
157,27,13,13,0,TRIM67,7,14,553,226,779
158,27,13,13,0,DNAH14,8,14,553,226,779
159,37,18,17,1,TTN,6,19,553,226,779
160,31,15,14,1,TTN,6,16,553,226,779
161,29,14,14,0,USH2A,7,15,553,226,779
162,31,15,15,0,CDH17,7,16,553,226,779
163,25,12,12,0,MYEOV,6,13,553,226,779
164,25,12,12,0,ZFPM2,8,13,553,226,779
165,27,13,12,1,FGFR1,8,14,553,226,779
166,35,17,17,0,PLEKHA6,7,18,553,226,779
167,29,14,14,0,INTS8,7,15,553,226,779
168,33,16,14,2,CDC42BPA,7,17,553,226,779
169,37,18,17,1,MYEOV,7,19,553,226,779
170,25,12,12,0,COL22A1,7,13,553,226,779
171,33,16,16,0,DPY19L4,7,17,553,226,779
172,21,10,10,0,OBSCN,5,11,553,226,779
173,15,7,7,0,MYEOV,6,8,553,226,779
174,17,8,8,0,EPPK1,4,9,553,226,779
175,25,12,12,0,GATA3,6,13,553,226,779
176,41,20,18,2,CDC42BPA,10,21,553,226,779
177,29,14,13,1,NECAB1,6,15,553,226,779
178,35,17,17,0,ERBB2,6,18,553,226,779
179,39,19,18,1,CSMD1,10,20,553,226,779
180,23,11,11,0,INTS8,5,12,553,226,779
181,41,20,19,1,GATA3,9,21,553,226,779
182,27,13,13,0,TRIM67,6,14,553,226,779
183,21,10,9,1,GEM,4,11,553,226,779
184,33,16,14,2,ERBB2,6,17,553,226,779
185,33,16,16,0,MYEOV,8,17,553,226,779
186,21,10,10,0,RN7SL350P,6,11,553,226,779
187,21,10,10,0,FLG,6,11,553,226,779
188,33,16,15,1,MYEOV,7,17,553,226,779
189,31,15,15,0,MYEOV,7,16,553,226,779
190,21,10,10,0,ZFPM2,5,11,553,226,779
191,19,9,9,0,COL22A1,6,10,553,226,779
192,19,9,9,0,C8orf37,6,10,553,226,779
193,29,14,13,1,RIMS2,7,15,553,226,779
194,25,12,12,0,RIMS2,6,13,553,226,779
195,39,19,19,0,RIMS2,8,20,553,226,779
196,13,6,6,0,MYEOV,5,7,553,226,779
197,31,15,15,0,SPTA1,7,16,553,226,779
198,39,19,17,2,CDC42BPA,8,20,553,226,779
199,33,16,16,0,MYEOV,6,17,553,226,779
200,33,16,15,1,ZFPM2,7,17,553,226,779
